Name;Long;Lat;ModuleName;ModuleType
Relay;4.954205;52.332817;Thermostat;Thermostat
Timestamp;"Timezone : Europe/Amsterdam";Temperature;Sp_Temperature;BoilerOn;BoilerOff
1669849245;"2022/12/01 00:00:45";18.2;14.5;0;592
1669849847;"2022/12/01 00:10:47";18.1;14.5;0;602
1669850450;"2022/12/01 00:20:50";18.1;14.5;0;603
1669851052;"2022/12/01 00:30:52";18;14.5;0;602
1669851655;"2022/12/01 00:40:55";18;14.5;0;603
1669852246;"2022/12/01 00:50:46";18;14.5;0;591
1669852849;"2022/12/01 01:00:49";17.9;14.5;0;603
1669853451;"2022/12/01 01:10:51";17.9;14.5;0;602
1669854054;"2022/12/01 01:20:54";17.9;14.5;0;603
1669854645;"2022/12/01 01:30:45";17.9;14.5;0;591
1669855248;"2022/12/01 01:40:48";17.8;14.5;0;603
1669855850;"2022/12/01 01:50:50";17.8;14.5;0;602
1669856452;"2022/12/01 02:00:52";17.8;14.5;0;602
1669857055;"2022/12/01 02:10:55";17.8;14.5;0;603
1669857647;"2022/12/01 02:20:47";17.8;14.5;0;592
1669858249;"2022/12/01 02:30:49";17.7;14.5;0;602
1669858851;"2022/12/01 02:40:51";17.7;14.5;0;602
1669859454;"2022/12/01 02:50:54";17.7;14.5;0;603
1669860045;"2022/12/01 03:00:45";17.7;14.5;0;591
1669860648;"2022/12/01 03:10:48";17.6;14.5;0;603
1669861250;"2022/12/01 03:20:50";17.6;14.5;0;602
1669861853;"2022/12/01 03:30:53";17.6;14.5;0;603
1669862455;"2022/12/01 03:40:55";17.6;14.5;0;602
1669863047;"2022/12/01 03:50:47";17.6;14.5;0;592
1669863649;"2022/12/01 04:00:49";17.6;14.5;0;602
1669864252;"2022/12/01 04:10:52";17.5;14.5;0;603
1669864854;"2022/12/01 04:20:54";17.5;14.5;0;602
1669865446;"2022/12/01 04:30:46";17.5;14.5;0;592
1669866048;"2022/12/01 04:40:48";17.5;14.5;0;602
1669866651;"2022/12/01 04:50:51";17.5;14.5;0;603
1669867253;"2022/12/01 05:00:53";17.5;14.5;0;602
1669867855;"2022/12/01 05:10:55";17.4;14.5;0;602
1669868447;"2022/12/01 05:20:47";17.4;14.5;0;592
1669869049;"2022/12/01 05:30:49";17.4;14.5;0;602
1669869652;"2022/12/01 05:40:52";17.4;14.5;0;603
1669870254;"2022/12/01 05:50:54";17.4;14.5;0;602
1669870846;"2022/12/01 06:00:46";17.4;14.5;0;592
1669871448;"2022/12/01 06:10:48";17.4;14.5;0;602
1669872051;"2022/12/01 06:20:51";17.3;14.5;0;603
1669872653;"2022/12/01 06:30:53";17.3;14.5;0;602
1669873256;"2022/12/01 06:40:56";17.3;14.5;0;603
1669873847;"2022/12/01 06:50:47";17.3;14.5;0;591
1669874450;"2022/12/01 07:00:50";17.3;14.5;0;603
1669874966;"2022/12/01 07:09:26";17.3;18.5;0;516
1669875558;"2022/12/01 07:19:18";17.3;18.5;592;0
1669876160;"2022/12/01 07:29:20";17.5;18.5;602;0
1669876763;"2022/12/01 07:39:23";17.8;18.5;603;0
1669877365;"2022/12/01 07:49:25";18.2;18.5;602;0
1669877957;"2022/12/01 07:59:17";18.4;18.5;119;473
1669878559;"2022/12/01 08:09:19";18.5;18.5;0;602
1669879161;"2022/12/01 08:19:21";18.5;18.5;0;602
1669879764;"2022/12/01 08:29:24";18.5;18.5;0;603
1669880356;"2022/12/01 08:39:16";18.4;18.5;0;592
1669880958;"2022/12/01 08:49:18";18.4;18.5;0;602
1669881560;"2022/12/01 08:59:20";18.3;18.5;322;280
1669882163;"2022/12/01 09:09:23";18.3;18.5;355;248
1669882765;"2022/12/01 09:19:25";18.4;18.5;344;258
1669883357;"2022/12/01 09:29:17";18.6;18.5;11;581
1669883959;"2022/12/01 09:39:19";18.6;18.5;129;473
1669884562;"2022/12/01 09:49:22";18.6;18.5;0;603
1669885164;"2022/12/01 09:59:24";18.6;18.5;129;473
1669885229;"2022/12/01 10:00:29";18.5;14.5;65;0
1669885820;"2022/12/01 10:10:20";18.5;14.5;0;591
1669886423;"2022/12/01 10:20:23";18.5;14.5;0;603
1669887025;"2022/12/01 10:30:25";18.5;14.5;0;602
1669887628;"2022/12/01 10:40:28";18.4;14.5;0;603
1669888219;"2022/12/01 10:50:19";18.4;14.5;0;591
1669888822;"2022/12/01 11:00:22";18.3;14.5;0;603
1669889424;"2022/12/01 11:10:24";18.3;14.5;0;602
1669890026;"2022/12/01 11:20:26";18.2;14.5;0;602
1669890618;"2022/12/01 11:30:18";18.2;14.5;0;592
1669891221;"2022/12/01 11:40:21";18.2;14.5;0;603
1669891823;"2022/12/01 11:50:23";18.2;14.5;0;602
1669892425;"2022/12/01 12:00:25";18.3;14.5;0;602
1669893028;"2022/12/01 12:10:28";18.3;14.5;0;603
1669893619;"2022/12/01 12:20:19";18.3;14.5;0;591
1669894222;"2022/12/01 12:30:22";18.3;14.5;0;603
1669894824;"2022/12/01 12:40:24";18.3;14.5;0;602
1669895427;"2022/12/01 12:50:27";18.4;14.5;0;603
1669896029;"2022/12/01 13:00:29";18.4;14.5;0;602
1669896621;"2022/12/01 13:10:21";18.4;14.5;0;592
1669897223;"2022/12/01 13:20:23";18.4;14.5;0;602
1669897826;"2022/12/01 13:30:26";18.4;14.5;0;603
1669898428;"2022/12/01 13:40:28";18.4;14.5;0;602
1669899020;"2022/12/01 13:50:20";18.4;14.5;0;592
